year,official_name_normalized,evidence_event_year,evidence_event_type,evidence_list_type,evidence_document_number,evidence_document_date,evidence_source_url,name_level_qualification,annual_timing_rule,coverage_status
2019,陕西大匠农科产业（集团）有限公司,2018,monitor_pass,第八次监测合格名单,农产发〔2018〕1号,2018-11-29,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,1,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射
2019,陕西大地种业（集团）有限公司,2018,monitor_pass,第八次监测合格名单,农产发〔2018〕1号,2018-11-29,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,1,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射
2019,陕西大垦生物科技有限公司,2018,monitor_pass,第八次监测合格名单,农产发〔2018〕1号,2018-11-29,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,1,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射
2019,陕西富县绿平果业有限责任公司,2019,recognition,第六批新认定名单,农产发〔2019〕3号,2019-11-26,https://www.moa.gov.cn/nybgb/2019/201912/202004/P020200410023357640054.pdf,1,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射
2019,陕西建兴农业科技有限公司,2018,monitor_pass,第八次监测合格名单,农产发〔2018〕1号,2018-11-29,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,1,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射
2019,陕西恒兴果汁饮料有限公司,2018,monitor_pass,第八次监测合格名单,农产发〔2018〕1号,2018-11-29,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,1,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射
2019,陕西恒通果汁集团股份有限公司,2018,monitor_pass,第八次监测合格名单,农产发〔2018〕1号,2018-11-29,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,1,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射
2019,陕西欣绿实业股份有限公司,2018,monitor_pass,第八次监测合格名单,农产发〔2018〕1号,2018-11-29,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,1,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射
2019,陕西汉宝科技发展（集团）有限公司,2018,monitor_pass,第八次监测合格名单,农产发〔2018〕1号,2018-11-29,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,1,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射
2019,陕西海升果业发展股份有限公司,2018,monitor_pass,第八次监测合格名单,农产发〔2018〕1号,2018-11-29,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,1,基准按年末已生效的正式文件；年末新认定另做下一完整年度起算稳健性,官方事件集合可构建；尚未完成上市法人历史名称映射
