stock_code,short_name,listed_legal_full_name,official_list_name,list_year,event_type,candidate_basis,review_status,leading_firm_direct_match,exchange_source_url,moa_source_url
000998,隆平高科,袁隆平农业高科技股份有限公司,江西博莱农业高科技股份有限公司,2023,monitor_pass,剔除常见公司后缀后的名称相似度=0.588，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000998,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf
001201,东瑞股份,东瑞食品集团股份有限公司,东瑞食品集团有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=1.000，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=001201,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
001201,东瑞股份,东瑞食品集团股份有限公司,山东凯加食品股份有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=0.600，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=001201,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
001201,东瑞股份,东瑞食品集团股份有限公司,山东春雪食品有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=0.600，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=001201,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
001201,东瑞股份,东瑞食品集团股份有限公司,山东汇康食品有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=0.600，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=001201,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
001201,东瑞股份,东瑞食品集团股份有限公司,山东绿润食品有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=0.600，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=001201,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
001201,东瑞股份,东瑞食品集团股份有限公司,山东莺歌食品有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=0.600，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=001201,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
001201,东瑞股份,东瑞食品集团股份有限公司,山东银宝食品有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=0.600，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=001201,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
001201,东瑞股份,东瑞食品集团股份有限公司,福建东方食品集团有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=0.600，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=001201,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
001318,阳光乳业,江西阳光乳业股份有限公司,江西阳光乳业集团有限公司,2014,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=001318,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
001318,阳光乳业,江西阳光乳业股份有限公司,江西阳光乳业集团有限公司,2018,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=001318,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm
001318,阳光乳业,江西阳光乳业股份有限公司,江西阳光乳业集团有限公司,2020,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=001318,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf
001318,阳光乳业,江西阳光乳业股份有限公司,江西阳光乳业集团有限公司,2023,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=001318,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf
002041,登海种业,山东登海种业股份有限公司,山东冠丰种业科技有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=0.571，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002041,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
002041,登海种业,山东登海种业股份有限公司,山东渤海油脂工业有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=0.571，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002041,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
002041,登海种业,山东登海种业股份有限公司,山东冠丰种业科技有限公司,2018,monitor_pass,剔除常见公司后缀后的名称相似度=0.571，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002041,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm
002041,登海种业,山东登海种业股份有限公司,山东渤海油脂工业有限公司,2018,monitor_pass,剔除常见公司后缀后的名称相似度=0.571，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002041,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm
002041,登海种业,山东登海种业股份有限公司,山东渤海油脂工业有限公司,2020,monitor_pass,剔除常见公司后缀后的名称相似度=0.571，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002041,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf
