stock_code,year,current_legal_full_name,current_short_name,entry_basis,announcement_id,announcement_title,announcement_sec_name,publication_date,pdf_url,adjunct_size,retrieved_date,annual_report_status
002507,2014,重庆市涪陵榨菜集团股份有限公司,涪陵榨菜,龙头企业身份核实候选,1200753843,2014年年度报告,涪陵榨菜,2015-03-27,https://static.cninfo.com.cn/finalpage/2015-03-28/1200753843.PDF,2468,2026-08-06,已取得法定年度报告链接
002566,2014,吉林省集安益盛药业股份有限公司,益盛药业,龙头企业身份核实候选,1201105988,2014年年度报告（更新后）,益盛药业,2015-06-04,https://static.cninfo.com.cn/finalpage/2015-06-05/1201105988.PDF,2348,2026-08-06,已取得法定年度报告链接
002567,2014,唐人神集团股份有限公司,唐人神,龙头企业身份核实候选,1200799784,2014年年度报告,唐人神,2015-04-08,https://static.cninfo.com.cn/finalpage/2015-04-09/1200799784.PDF,4449,2026-08-06,已取得法定年度报告链接
002582,2014,好想你健康食品股份有限公司,好想你,龙头企业身份核实候选,1200848914,2014年年度报告,好想你,2015-04-16,https://static.cninfo.com.cn/finalpage/2015-04-17/1200848914.PDF,2618,2026-08-06,已取得法定年度报告链接
002650,2014,加加食品集团股份有限公司,ST加加,龙头企业身份核实候选,1200719958,2014年年度报告,加加食品,2015-03-19,https://static.cninfo.com.cn/finalpage/2015-03-20/1200719958.PDF,2474,2026-08-06,已取得法定年度报告链接
002679,2014,福建金森林业股份有限公司,福建金森,行业分类候选,1200848813,2014年年度报告,福建金森,2015-04-16,https://static.cninfo.com.cn/finalpage/2015-04-17/1200848813.PDF,2287,2026-08-06,已取得法定年度报告链接
002688,2014,金河生物科技股份有限公司,金河生物,龙头企业身份核实候选,1200803492,2014年年度报告,金河生物,2015-04-09,https://static.cninfo.com.cn/finalpage/2015-04-10/1200803492.PDF,2829,2026-08-06,已取得法定年度报告链接
002696,2014,百洋产业投资集团股份有限公司,百洋股份,行业分类候选,1200884142,2014年年度报告（更新后）,百洋股份,2015-04-21,https://static.cninfo.com.cn/finalpage/2015-04-22/1200884142.PDF,2882,2026-08-06,已取得法定年度报告链接
002702,2014,海欣食品股份有限公司,海欣食品,龙头企业身份核实候选,1200746792,2014年年度报告,海欣食品,2015-03-26,https://static.cninfo.com.cn/finalpage/2015-03-27/1200746792.PDF,2671,2026-08-06,已取得法定年度报告链接
002714,2014,牧原食品集团股份有限公司,牧原股份,行业分类候选+龙头企业身份核实候选,1200907919,2014年年度报告,牧原股份,2015-04-26,https://static.cninfo.com.cn/finalpage/2015-04-27/1200907919.PDF,2734,2026-08-06,已取得法定年度报告链接
002732,2014,广东燕塘乳业股份有限公司,燕塘乳业,龙头企业身份核实候选,1200839432,2014年年度报告,燕塘乳业,2015-04-15,https://static.cninfo.com.cn/finalpage/2015-04-16/1200839432.PDF,2324,2026-08-06,已取得法定年度报告链接
300087,2014,安徽荃银高科种业股份有限公司,ST荃银,行业分类候选,1200896083,2014年年度报告（更新后）,荃银高科,2015-04-23,https://static.cninfo.com.cn/finalpage/2015-04-23/1200896083.PDF,2636,2026-08-06,已取得法定年度报告链接
300094,2014,湛江国联水产开发股份有限公司,国联水产,行业分类候选+龙头企业身份核实候选,1200945594,2014年年度报告,国联水产,2015-04-29,https://static.cninfo.com.cn/finalpage/2015-04-30/1200945594.PDF,1016,2026-08-06,已取得法定年度报告链接
300106,2014,新疆西部牧业股份有限公司,西部牧业,行业分类候选+龙头企业身份核实候选,1200799700,2014年年度报告,西部牧业,2015-04-08,https://static.cninfo.com.cn/finalpage/2015-04-09/1200799700.PDF,2738,2026-08-06,已取得法定年度报告链接
300138,2014,晨光生物科技集团股份有限公司,晨光生物,龙头企业身份核实候选,1200730875,2014年年度报告,晨光生物,2015-03-23,https://static.cninfo.com.cn/finalpage/2015-03-24/1200730875.PDF,4331,2026-08-06,已取得法定年度报告链接
300143,2014,盈康生命科技股份有限公司,盈康生命,行业分类候选,1200898448,2014年年度报告,星河生物,2015-04-23,https://static.cninfo.com.cn/finalpage/2015-04-24/1200898448.PDF,2217,2026-08-06,已取得法定年度报告链接
300189,2014,海南神农种业科技股份有限公司,神农种业,行业分类候选+龙头企业身份核实候选,1207233017,2014年年度报告（更新后）,神农科技,2020-01-07,https://static.cninfo.com.cn/finalpage/2020-01-07/1207233017.PDF,3665,2026-08-06,已取得法定年度报告链接
300313,2014,新疆天山畜牧生物工程股份有限公司,天山生物,行业分类候选,1200755628,2014年年度报告,天山生物,2015-03-27,https://static.cninfo.com.cn/finalpage/2015-03-28/1200755628.PDF,2666,2026-08-06,已取得法定年度报告链接
600097,2014,上海开创国际海洋资源股份有限公司,开创国际,行业分类候选,1200946634,2014年年度报告,开创国际,2015-04-29,https://static.cninfo.com.cn/finalpage/2015-04-30/1200946634.PDF,1965,2026-08-06,已取得法定年度报告链接
