stock_code,exchange,short_name,legal_full_name,org_id,search_status,announcement_count,retrieved_date
600238,上海证券交易所,ST椰岛,海南椰岛(集团)股份有限公司,gssh0600238,检索完成,1,2026-08-06
600285,上海证券交易所,羚锐制药,河南羚锐制药股份有限公司,gssh0600285,检索完成,0,2026-08-06
600295,上海证券交易所,鄂尔多斯,内蒙古鄂尔多斯资源股份有限公司,gssh0600295,检索完成,2,2026-08-06
600300,上海证券交易所,维维股份,维维食品饮料股份有限公司,gssh0600300,检索完成,0,2026-08-06
600305,上海证券交易所,恒顺醋业,江苏恒顺醋业股份有限公司,gssh0600305,检索完成,1,2026-08-06
600351,上海证券交易所,亚宝药业,亚宝药业集团股份有限公司,gssh0600351,检索完成,3,2026-08-06
600354,上海证券交易所,敦煌种业,甘肃省敦煌种业集团股份有限公司,gssh0600354,检索完成,1,2026-08-06
600419,上海证券交易所,天润乳业,新疆天润乳业股份有限公司,gssh0600419,检索完成,2,2026-08-06
600429,上海证券交易所,三元股份,北京三元食品股份有限公司,gssh0600429,检索完成,0,2026-08-06
600438,上海证券交易所,通威股份,通威股份有限公司,gssh0600438,检索完成,0,2026-08-06
600467,上海证券交易所,好当家,山东好当家海洋发展股份有限公司,gssh0600467,检索完成,0,2026-08-06
600479,上海证券交易所,千金药业,株洲千金药业股份有限公司,gssh0600479,检索完成,0,2026-08-06
600543,上海证券交易所,*ST莫高,甘肃莫高实业发展股份有限公司,gssh0600543,检索完成,0,2026-08-06
600597,上海证券交易所,光明乳业,光明乳业股份有限公司,gssh0600597,检索完成,1,2026-08-06
600737,上海证券交易所,中粮糖业,中粮糖业控股股份有限公司,gssh0600737,检索完成,3,2026-08-06
600873,上海证券交易所,梅花生物,梅花生物科技集团股份有限公司,gssh0600873,检索完成,2,2026-08-06
600882,上海证券交易所,妙可蓝多,上海妙可蓝多食品科技股份有限公司,gssh0600882,检索完成,5,2026-08-06
600887,上海证券交易所,伊利股份,内蒙古伊利实业集团股份有限公司,gssh0600887,检索完成,1,2026-08-06
600962,上海证券交易所,国投中鲁,国投中鲁果汁股份有限公司,gssh0600962,检索完成,0,2026-08-06
600965,上海证券交易所,*ST福成,河北福成五丰食品股份有限公司,gssh0600965,检索完成,0,2026-08-06
600975,上海证券交易所,新五丰,湖南新五丰股份有限公司,gssh0600975,检索完成,0,2026-08-06
601118,上海证券交易所,海南橡胶,海南天然橡胶产业集团股份有限公司,9900005902,检索完成,1,2026-08-06
601933,上海证券交易所,永辉超市,永辉超市股份有限公司,9900016367,检索完成,0,2026-08-06
601996,上海证券交易所,丰林集团,广西丰林木业集团股份有限公司,9900021478,检索完成,2,2026-08-06
603151,上海证券交易所,邦基科技,山东邦基科技股份有限公司,9900052705,检索完成,0,2026-08-06
603156,上海证券交易所,养元饮品,河北养元智汇饮品股份有限公司,9900023988,检索完成,0,2026-08-06
603182,上海证券交易所,嘉华股份,山东嘉华生物科技股份有限公司,gfbj0838891,检索完成,0,2026-08-06
603237,上海证券交易所,五芳斋,浙江五芳斋实业股份有限公司,9900041915,检索完成,0,2026-08-06
603288,上海证券交易所,海天味业,佛山市海天调味食品股份有限公司,9900023228,检索完成,0,2026-08-06
603317,上海证券交易所,天味食品,四川天味食品集团股份有限公司,9900023519,检索完成,0,2026-08-06
603336,上海证券交易所,宏辉果蔬,宏辉果蔬股份有限公司,9900023771,检索完成,0,2026-08-06
603345,上海证券交易所,安井食品,安井食品集团股份有限公司,9900028960,检索完成,1,2026-08-06
603363,上海证券交易所,傲农生物,福建傲农生物科技集团股份有限公司,9900033003,检索完成,1,2026-08-06
603517,上海证券交易所,ST绝味,绝味食品股份有限公司,9900029519,检索完成,0,2026-08-06
603609,上海证券交易所,禾丰股份,禾丰食品股份有限公司,9900022976,检索完成,2,2026-08-06
603668,上海证券交易所,天马科技,福建天马科技集团股份有限公司,9900029592,检索完成,1,2026-08-06
603708,上海证券交易所,家家悦,家家悦集团股份有限公司,9900029040,检索完成,0,2026-08-06
603896,上海证券交易所,寿仙谷,浙江寿仙谷医药股份有限公司,9900030535,检索完成,0,2026-08-06
605016,上海证券交易所,百龙创园,山东百龙创园生物科技股份有限公司,9900041707,检索完成,0,2026-08-06
605179,上海证券交易所,一鸣食品,浙江一鸣食品股份有限公司,9900039760,检索完成,0,2026-08-06
605198,上海证券交易所,安德利,烟台北方安德利果汁股份有限公司,gshk0008259,检索完成,0,2026-08-06
605296,上海证券交易所,神农集团,云南神农农业产业集团股份有限公司,9900033227,检索完成,0,2026-08-06
605337,上海证券交易所,李子园,浙江李子园食品股份有限公司,9900039750,检索完成,1,2026-08-06
605338,上海证券交易所,巴比食品,中饮巴比食品股份有限公司,9900039853,检索完成,0,2026-08-06
605589,上海证券交易所,圣泉集团,济南圣泉集团股份有限公司,9900028008,检索完成,0,2026-08-06
