stock_code,year,listed_legal_full_name,exchange,short_name,list_date,official_name_evidence,evidence_event_year,evidence_event_type,moa_source_url,identity_source_url,identity_basis,source_url,listed_by_year_end
300189,2018,海南神农种业科技股份有限公司,深圳证券交易所,神农种业,2011-03-16,海南神农基因科技股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://static.cninfo.com.cn/finalpage/2025-04-26/1223326682.PDF,2024年年度报告明确名单名称为当前上市公司的原名,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300189,1
300189,2019,海南神农种业科技股份有限公司,深圳证券交易所,神农种业,2011-03-16,海南神农基因科技股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://static.cninfo.com.cn/finalpage/2025-04-26/1223326682.PDF,2024年年度报告明确名单名称为当前上市公司的原名,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300189,1
300189,2020,海南神农种业科技股份有限公司,深圳证券交易所,神农种业,2011-03-16,海南神农科技股份有限公司,2020,monitor_pass,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,https://static.cninfo.com.cn/finalpage/2025-04-26/1223326682.PDF,2024年年度报告明确名单名称为当前上市公司的原名,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300189,1
300189,2021,海南神农种业科技股份有限公司,深圳证券交易所,神农种业,2011-03-16,海南神农科技股份有限公司,2020,monitor_pass,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,https://static.cninfo.com.cn/finalpage/2025-04-26/1223326682.PDF,2024年年度报告明确名单名称为当前上市公司的原名,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300189,1
300189,2022,海南神农种业科技股份有限公司,深圳证券交易所,神农种业,2011-03-16,海南神农科技股份有限公司,2020,monitor_pass,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf,https://static.cninfo.com.cn/finalpage/2025-04-26/1223326682.PDF,2024年年度报告明确名单名称为当前上市公司的原名,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300189,1
300189,2023,海南神农种业科技股份有限公司,深圳证券交易所,神农种业,2011-03-16,海南神农科技股份有限公司,2023,monitor_pass,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf,https://static.cninfo.com.cn/finalpage/2025-04-26/1223326682.PDF,2024年年度报告明确名单名称为当前上市公司的原名,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300189,1
300498,2015,温氏食品集团股份有限公司,深圳证券交易所,温氏股份,2015-11-02,广东温氏食品集团股份有限公司,2014,monitor_pass,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,https://static.cninfo.com.cn/finalpage/2018-08-16/1205296769.PDF,上市公司完成公司名称工商登记变更公告,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300498,1
300498,2018,温氏食品集团股份有限公司,深圳证券交易所,温氏股份,2015-11-02,广东温氏食品集团股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://static.cninfo.com.cn/finalpage/2018-08-16/1205296769.PDF,上市公司完成公司名称工商登记变更公告,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300498,1
300498,2019,温氏食品集团股份有限公司,深圳证券交易所,温氏股份,2015-11-02,广东温氏食品集团股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://static.cninfo.com.cn/finalpage/2018-08-16/1205296769.PDF,上市公司完成公司名称工商登记变更公告,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300498,1
300970,2021,江苏华绿生物科技集团股份有限公司,深圳证券交易所,华绿生物,2021-04-12,江苏华绿生物科技股份有限公司,2019,recognition,https://www.moa.gov.cn/nybgb/2019/201912/202004/P020200410023357640054.pdf,https://static.cninfo.com.cn/finalpage/2026-02-11/1224977414.PDF,法律意见书以同一统一社会信用代码和证券代码连接当前名称与原上市名称,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300970,1
300970,2022,江苏华绿生物科技集团股份有限公司,深圳证券交易所,华绿生物,2021-04-12,江苏华绿生物科技股份有限公司,2019,recognition,https://www.moa.gov.cn/nybgb/2019/201912/202004/P020200410023357640054.pdf,https://static.cninfo.com.cn/finalpage/2026-02-11/1224977414.PDF,法律意见书以同一统一社会信用代码和证券代码连接当前名称与原上市名称,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300970,1
300970,2023,江苏华绿生物科技集团股份有限公司,深圳证券交易所,华绿生物,2021-04-12,江苏华绿生物科技股份有限公司,2023,monitor_pass,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf,https://static.cninfo.com.cn/finalpage/2026-02-11/1224977414.PDF,法律意见书以同一统一社会信用代码和证券代码连接当前名称与原上市名称,https://www.szse.cn/api/report/index/companyGeneralization?secCode=300970,1
600251,2014,新疆冠农股份有限公司,上海证券交易所,冠农股份,20030609,新疆冠农果茸集团股份有限公司,2014,monitor_pass,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,https://static.cninfo.com.cn/finalpage/2018-10-27/1205543355.PDF | https://static.cninfo.com.cn/finalpage/2023-02-10/1215815769.PDF,2018年股东大会资料明确集团名称变更为新疆冠农果茸股份有限公司并由2023年工商公告继续变更为当前名称,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,1
600251,2015,新疆冠农股份有限公司,上海证券交易所,冠农股份,20030609,新疆冠农果茸集团股份有限公司,2014,monitor_pass,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf,https://static.cninfo.com.cn/finalpage/2018-10-27/1205543355.PDF | https://static.cninfo.com.cn/finalpage/2023-02-10/1215815769.PDF,2018年股东大会资料明确集团名称变更为新疆冠农果茸股份有限公司并由2023年工商公告继续变更为当前名称,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,1
