exchange,stock_code,short_name,legal_full_name,list_date,current_industry,exchange_status_code,coverage_scope,source_url,retrieved_date
上海证券交易所,600690,海尔智家,海尔智家股份有限公司,19931119,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600691,潞化科技,山西潞安化工科技股份有限公司,19931119,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600692,亚通股份,上海亚通股份有限公司,19931119,房地产业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600693,东百集团,福建东百集团股份有限公司,19931122,批发和零售业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600694,大商股份,大商股份有限公司,19931122,批发和零售业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600697,欧亚集团,长春欧亚集团股份有限公司,19931206,批发和零售业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600698,湖南天雁,湖南天雁机械股份有限公司,19931206,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600699,均胜电子,宁波均胜电子股份有限公司,19931206,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600702,舍得酒业,舍得酒业股份有限公司,19960524,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600703,三安光电,三安光电股份有限公司,19960528,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600704,物产中大,物产中大集团股份有限公司,19960606,批发和零售业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600706,曲江文旅,西安曲江文化旅游股份有限公司,19960516,水利、环境和公共设施管理业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600707,彩虹股份,彩虹显示器件股份有限公司,19960520,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600708,光明地产,光明房地产集团股份有限公司,19960606,房地产业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600710,苏美达,苏美达股份有限公司,19960701,批发和零售业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600711,盛屯矿业,盛屯矿业集团股份有限公司,19960531,采矿业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600712,南宁百货,南宁百货大楼股份有限公司,19960626,批发和零售业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600713,南京医药,南京医药集团股份有限公司,19960701,批发和零售业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600714,金瑞矿业,青海金瑞矿业发展股份有限公司,19960606,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600715,文投控股,文投控股股份有限公司,19960701,文化、体育和娱乐业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600716,凤凰股份,江苏凤凰置业投资股份有限公司,19960702,房地产业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
