stock_code,exchange,short_name,legal_full_name,org_id,search_status,announcement_count,issuer_name_change_notice_count,earliest_exact_event_date,exact_event_years,exact_event_types,last_completion_or_progress_notice_date,timing_screen_result,issuer_name_change_notice_titles,issuer_name_change_notice_urls,retrieved_date,scope_caution
003000,深圳证券交易所,劲仔食品,劲仔食品集团股份有限公司,9900039825,检索完成,2,2.0,2021-12-22,2021,第七批新认定名单,2021-04-29,时点顺序通过_更名完成或进展公告不晚于最早精确名单事件,华文食品关于拟变更公司名称、证券简称及修订《公司章程》的公告 | 关于变更公司名称及证券简称暨完成工商变更登记的公告,https://static.cninfo.com.cn/finalpage/2021-03-31/1209490684.PDF | https://static.cninfo.com.cn/finalpage/2021-04-30/1209871193.PDF,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
300087,深圳证券交易所,ST荃银,安徽荃银高科种业股份有限公司,9900010589,检索完成,0,0,2019-11-26,2019 | 2023,第六批新认定名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
300094,深圳证券交易所,国联水产,湛江国联水产开发股份有限公司,9900012529,检索完成,2,1.0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,仅检出提案_最早精确名单事件已使用当前全称_仍需核实施行日,关于拟变更公司名称的公告,https://static.cninfo.com.cn/finalpage/2019-04-10/1206001784.PDF,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
300106,深圳证券交易所,西部牧业,新疆西部牧业股份有限公司,9900013409,检索完成,0,0,2014-09-01,2014,第六次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
300138,深圳证券交易所,晨光生物,晨光生物科技集团股份有限公司,9900014768,检索完成,1,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
300158,深圳证券交易所,振东制药,山西振东制药股份有限公司,9900015689,检索完成,0,0,2019-11-26,2019 | 2023,第六批新认定名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
300498,深圳证券交易所,温氏股份,温氏食品集团股份有限公司,9900009247,检索完成,2,2.0,2020-11-20,2020 | 2023,第九次监测合格名单 | 第十次监测合格名单,2018-08-16,时点顺序通过_更名完成或进展公告不晚于最早精确名单事件,关于拟变更公司名称及修改公司章程的公告 | 关于完成公司名称工商登记变更的公告,https://static.cninfo.com.cn/finalpage/2018-07-23/1205219151.PDF | https://static.cninfo.com.cn/finalpage/2018-08-16/1205296769.PDF,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
300511,深圳证券交易所,雪榕生物,上海雪榕生物科技股份有限公司,9900024682,检索完成,0,0,2014-09-01,2014 | 2018 | 2020 | 2023,第六次监测合格名单 | 第八次监测合格名单 | 第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
300783,深圳证券交易所,三只松鼠,三只松鼠股份有限公司,9900035084,检索完成,0,0,2020-11-20,2020 | 2023,第九次监测合格名单 | 第十次监测合格名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
300871,深圳证券交易所,回盛生物,武汉回盛生物科技股份有限公司,9900039738,检索完成,0,0,2021-12-22,2021,第七批新认定名单,,未检出上市公司本体名称变更公告_仍需年报抽查,,,2026-08-06,当前完整批量结果检索截至2023-12-31；2024—2026仅对高可信人工候选定向补查
