stock_code,exchange,current_short_name,current_legal_full_name,org_id,announcement_id,announcement_title,announcement_sec_name,announcement_date,pdf_url,query_keyword,retrieved_date,review_status
600127,上海证券交易所,金健米业,金健米业股份有限公司,gssh0600127,1207889092,关于受托管理的控股股东子公司名称及经营范围变更的公告,金健米业,2020-06-02,https://static.cninfo.com.cn/finalpage/2020-06-03/1207889092.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600129,上海证券交易所,太极集团,重庆太极实业(集团)股份有限公司,gssh0600129,1201236075,关于控股子公司改制完成及名称变更的公告,太极集团,2015-07-03,https://static.cninfo.com.cn/finalpage/2015-07-04/1201236075.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600129,上海证券交易所,太极集团,重庆太极实业(集团)股份有限公司,gssh0600129,1202082841,关于控股子公司改制完成及名称变更的公告,太极集团,2016-03-25,https://static.cninfo.com.cn/finalpage/2016-03-26/1202082841.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600195,上海证券交易所,中牧股份,中牧实业股份有限公司,gssh0600195,14750708,关于中国水产(集团)总公司变更名称的公告,中牧股份,2004-10-27,https://static.cninfo.com.cn/finalpage/2004-10-28/14750708.html,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600238,上海证券交易所,ST椰岛,海南椰岛(集团)股份有限公司,gssh0600238,1201826899,海南椰岛（集团）股份有限公司关于审计机构名称变更的公告,海南椰岛,2015-12-10,https://static.cninfo.com.cn/finalpage/2015-12-11/1201826899.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600295,上海证券交易所,鄂尔多斯,内蒙古鄂尔多斯资源股份有限公司,gssh0600295,59534010,关于公司名称变更获批的公告,鄂尔多斯,2011-06-09,https://static.cninfo.com.cn/finalpage/2011-06-10/59534010.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600295,上海证券交易所,鄂尔多斯,内蒙古鄂尔多斯资源股份有限公司,gssh0600295,1208870319,内蒙古鄂尔多斯资源股份有限公司关于变更英文名称暨修订《公司章程》并办理工商等手续的公告,鄂尔多斯,2020-12-08,https://static.cninfo.com.cn/finalpage/2020-12-09/1208870319.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600305,上海证券交易所,恒顺醋业,江苏恒顺醋业股份有限公司,gssh0600305,60387909,关于公司2011年度审计机构名称变更的公告,恒顺醋业,2011-12-29,https://static.cninfo.com.cn/finalpage/2011-12-30/60387909.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600351,上海证券交易所,亚宝药业,亚宝药业集团股份有限公司,gssh0600351,13107872,控股子公司北京亚宝乾坤经贸有限公司变更企业名称、注册地址的公告,亚宝药业,2003-12-03,https://static.cninfo.com.cn/finalpage/2003-12-04/13107872.html,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600351,上海证券交易所,亚宝药业,亚宝药业集团股份有限公司,gssh0600351,52182607,关于变更公司名称的公告,亚宝药业,2009-05-05,https://static.cninfo.com.cn/finalpage/2009-05-06/52182607.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600351,上海证券交易所,亚宝药业,亚宝药业集团股份有限公司,gssh0600351,57467957,关于全资子公司名称变更的公告,亚宝药业,2010-01-04,https://static.cninfo.com.cn/finalpage/2010-01-05/57467957.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600354,上海证券交易所,敦煌种业,甘肃省敦煌种业集团股份有限公司,gssh0600354,1202637104,关于拟变更公司名称的公告,敦煌种业,2016-08-26,https://static.cninfo.com.cn/finalpage/2016-08-27/1202637104.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600419,上海证券交易所,天润乳业,新疆天润乳业股份有限公司,gssh0600419,14409484,关于公司第七大股东新疆石河子白杨酒厂变更企业名称的公告,新疆天宏,2004-08-06,https://static.cninfo.com.cn/finalpage/2004-08-07/14409484.html,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600419,上海证券交易所,天润乳业,新疆天润乳业股份有限公司,gssh0600419,63439440,关于公司名称等工商登记变更的公告,新疆天宏,2013-12-31,https://static.cninfo.com.cn/finalpage/2014-01-01/63439440.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600597,上海证券交易所,光明乳业,光明乳业股份有限公司,gssh0600597,12495336,关于变更公司法定名称的进展公告,光明乳业,2003-09-02,https://static.cninfo.com.cn/finalpage/2003-09-03/12495336.html,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600737,上海证券交易所,中粮糖业,中粮糖业控股股份有限公司,gssh0600737,1203056143,关于公司名称完成工商变更登记的公告,中粮屯河,2017-01-25,https://static.cninfo.com.cn/finalpage/2017-01-26/1203056143.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600737,上海证券交易所,中粮糖业,中粮糖业控股股份有限公司,gssh0600737,1208596727,中粮屯河糖业股份有限公司关于公司名称变更暨修订《公司章程》的公告,中粮糖业,2020-10-21,https://static.cninfo.com.cn/finalpage/2020-10-22/1208596727.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600737,上海证券交易所,中粮糖业,中粮糖业控股股份有限公司,gssh0600737,1208805219,关于公司名称完成工商变更登记的公告,中粮糖业,2020-11-26,https://static.cninfo.com.cn/finalpage/2020-11-27/1208805219.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600873,上海证券交易所,梅花生物,梅花生物科技集团股份有限公司,gssh0600873,14533963,子公司工商名称变更公告,*ST明 珠,2004-09-20,https://static.cninfo.com.cn/finalpage/2004-09-21/14533963.html,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
600873,上海证券交易所,梅花生物,梅花生物科技集团股份有限公司,gssh0600873,59075596,关于公司名称、经营范围等事项完成工商变更手续的公告,五洲明珠,2011-03-03,https://static.cninfo.com.cn/finalpage/2011-03-04/59075596.PDF,变更公司名称,2026-08-06,待读取公告正文并提取变更前后法人全称及生效日
