stock_code,year,current_legal_full_name,current_short_name,exchange_final,list_date_final,legal_name_review_status,entry_basis,name_source_url,name_effective_basis,delisting_date,delisting_source_url,industry_entry_candidate,industry_period_short_name,industry_source_period,industry_code,industry_name,industry_period_st_flag,industry_source_agency,industry_classification_standard,industry_local_source_file,industry_sample_status,leading_identity_verified_candidate,official_name_evidence,evidence_event_year,evidence_event_type,moa_source_url,identity_source_url,identity_basis,leading_candidate_status,st_review_status,entry_pool_status,st_any_time_in_year_verified,st_at_year_end_verified,st_interval_source_url,st_interval_end_source_url,st_interval_status,st_audit_status,delisting_arrangement_in_year_verified,delisting_arrangement_source_url
000663,2018,福建省永安林业(集团)股份有限公司,永安林业,深圳证券交易所,1996-12-06,交易所当前法人主表已覆盖,龙头企业身份核实候选,,,,,0,,,,,,,,,,1,福建省永安林业（集团）股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000663,当前交易所法人全称与官方名单标准化后完全一致,身份关系已核实候选；ST、退市时点及资格缺口仍待处理,待从公司年度证券状态来源核实,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
000713,2018,国投丰乐种业股份有限公司,国投丰乐,深圳证券交易所,1997-04-22,交易所当前法人主表已覆盖,行业分类候选+龙头企业身份核实候选,,,,,1,丰乐种业,2018Q4,05,农林牧渔服务业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2018Q4.pdf,候选待年报复核,1,合肥丰乐种业股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://static.cninfo.com.cn/finalpage/2025-08-30/1224620910.PDF,半年度报告明确当前公司曾用名单名称且证券代码保持000713,身份关系已核实候选；ST、退市时点及资格缺口仍待处理,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
000735,2018,罗牛山股份有限公司,罗 牛 山,深圳证券交易所,1997-06-11,交易所当前法人主表已覆盖,行业分类候选+龙头企业身份核实候选,,,,,1,罗牛山,2018Q4,03,畜牧业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2018Q4.pdf,候选待年报复核,1,罗牛山股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000735,当前交易所法人全称与官方名单标准化后完全一致,身份关系已核实候选；ST、退市时点及资格缺口仍待处理,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
000798,2018,中水集团远洋股份有限公司,中水渔业,深圳证券交易所,1998-02-12,交易所当前法人主表已覆盖,行业分类候选,,,,,1,中水渔业,2018Q4,04,渔业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2018Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
000848,2018,承德露露股份公司,承德露露,深圳证券交易所,1997-11-13,交易所当前法人主表已覆盖,龙头企业身份核实候选,,,,,0,,,,,,,,,,1,河北承德露露股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://static.cninfo.com.cn/finalpage/2022-04-12/1212884374.PDF,上市公司公告列明由旧全称变更为当前全称；证券代码不变,身份关系已核实候选；ST、退市时点及资格缺口仍待处理,待从公司年度证券状态来源核实,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
000860,2018,北京顺鑫农业股份有限公司,顺鑫农业,深圳证券交易所,1998-11-04,交易所当前法人主表已覆盖,龙头企业身份核实候选,,,,,0,,,,,,,,,,1,北京顺鑫农业股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000860,当前交易所法人全称与官方名单标准化后完全一致,身份关系已核实候选；ST、退市时点及资格缺口仍待处理,待从公司年度证券状态来源核实,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
000910,2018,大亚圣象家居股份有限公司,大亚圣象,深圳证券交易所,1999-06-30,交易所当前法人主表已覆盖,龙头企业身份核实候选,,,,,0,,,,,,,,,,1,大亚圣象家居股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000910,当前交易所法人全称与官方名单标准化后完全一致,身份关系已核实候选；ST、退市时点及资格缺口仍待处理,待从公司年度证券状态来源核实,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
000998,2018,袁隆平农业高科技股份有限公司,隆平高科,深圳证券交易所,2000-12-11,交易所当前法人主表已覆盖,行业分类候选+龙头企业身份核实候选,,,,,1,隆平高科,2018Q4,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2018Q4.pdf,候选待年报复核,1,袁隆平农业高科技股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://www.szse.cn/api/report/index/companyGeneralization?secCode=000998,当前交易所法人全称与官方名单标准化后完全一致,身份关系已核实候选；ST、退市时点及资格缺口仍待处理,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
002041,2018,山东登海种业股份有限公司,登海种业,深圳证券交易所,2005-04-18,交易所当前法人主表已覆盖,行业分类候选,,,,,1,登海种业,2018Q4,01,农业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2018Q4.pdf,候选待年报复核,0,,,,,,,,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
002069,2018,獐子岛集团股份有限公司,獐子岛,深圳证券交易所,2006-09-28,交易所当前法人主表已覆盖,行业分类候选+龙头企业身份核实候选,,,,,1,獐子岛,2018Q4,04,渔业,否,中国证监会,《上市公司行业分类指引》（2012年修订）,2018Q4.pdf,候选待年报复核,1,獐子岛集团股份有限公司,2018,monitor_pass,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002069,当前交易所法人全称与官方名单标准化后完全一致,身份关系已核实候选；ST、退市时点及资格缺口仍待处理,已由当期行业分类证券简称标记：否,入口候选，非最终样本；仍须复核主营业务、涉农收入占比、ST/退市状态及核心变量缺失,,,,,,年度ST区间待核实,,
